what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321387859631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321387869990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321387870364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321387870738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321387871128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321387871643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321387923950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321387931781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321388056416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388180622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388232788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388250591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388277972
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321388296974
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321388305023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388310671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388317742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388332533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388700415
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321388727334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321388737786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388739112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388740313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388741392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388742687
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321388743936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388753985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388776951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388789620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388841488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388845671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388869927
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1321388915707
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321388917170
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321388921199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321388976566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389059935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389065092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389082582
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321389082599
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389085686
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389097691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389099115
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389103684
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1321389106154
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389108626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321389127352
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389135075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321389141637
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321389144921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389145094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321389157558
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321389159715
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321389171039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389186616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389199985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389212283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389243574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389259985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389261861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389266012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321389290563
